nom,region,departement,sous_prefecture,latitude,longitude,population
"Tiassalé","","","","5.8956463","-4.8250584","83648"
"Akoupé","","","","6.3815237","-3.8859041","51000"
"Bangolo","","","","7.0119038","-7.4867606","20000"
"Touba","","","","8.2840981","-7.6818105","30000"
"Odienné","","","","9.504431","-7.561942","86279"
"Niellé","","","","10.1979006","-5.6249349",""
"Agnibilékrou","","","","7.1279945","-3.2015318","99501"
"Zépréguhé","","","","6.9064729","-6.3703769",""
"Grand-Lahou","","","","5.2503434","-5.0024449","77479"
"Béoumi","","","","7.6745381","-5.5827323","25000"
"Doropo","","","","9.8095188","-3.3458764","48225"
"Varalé","","","","9.6586821","-3.279831",""
"Bouko","","","","9.4790227","-3.1722548",""
"Soko","","","","7.9895353","-2.7428298","6000"
"Morifingso","","","","8.5433108","-7.2736011",""
"Borotou Koro","","","","8.4771613","-7.1876687",""
"Niamotou","","","","8.8313705","-7.5352117",""
"Memouya","","","","8.8822549","-7.5405332",""
"Borotou","","","","8.7346709","-7.4933263",""
"Baranzan","","","","8.4979062","-7.6267072",""
"Désséné","","","","8.5871206","-7.6401669",""
"Dioulatièdougou","","","","8.9753549","-7.2370359",""
"Métro","","","","8.9329626","-7.1635648",""
"Moyako","","","","8.9011124","-7.1258414",""
"Sédébian","","","","8.8646158","-7.0576498",""
"Djibrosso","","","","8.769622","-7.00083",""
"Morityédougou","","","","8.6542385","-6.9355985",""
"Konogo","","","","8.5333878","-6.9361135",""
"Gbémazo","","","","8.5123369","-6.9393751",""
"Yanfisa","","","","8.374119","-6.9683858",""
"Masara","","","","8.3205222","-6.9342811",""
"Kangara","","","","8.3927319","-6.9927918",""
"Kimbirila-Sud","","","","9.7067769","-7.608875",""
"Minignan","","","","9.9985627","-7.8361487","14000"
"Tiéme","","","","9.5432254","-7.3176698",""
"Kabangoue","","","","10.1411629","-7.5532392",""
"Tienko","","","","10.2251802","-7.4836796",""
"Kehi","","","","10.2543889","-7.5597569",""
"Goulia","","","","10.01765","-7.200453",""
"Sianhala","","","","10.0382732","-6.8543839",""
"Zaniegue","","","","10.0340473","-6.7585969",""
"Mahandiana","","","","10.2626713","-6.6988587",""
"Tengréla","","","","10.4808361","-6.4084029","92454"
"Tinakaha","","","","9.920672","-6.6441803",""
"Nidieou","","","","9.9691986","-6.6175728",""
"Muniene","","","","10.0136608","-6.6697579",""
"Douasso","","","","10.0887087","-6.664608",""
"Tounvré","","","","9.9007183","-6.5020447",""
"Kouto","","","","9.8927311","-6.4127605","55893"
"Gbon","","","","9.8345773","-6.4434824",""
"Kolia","","","","9.7654066","-6.4611893",""
"Madinani","","","","9.6103848","-6.9430731",""
"Séguélon","","","","9.3564345","-7.1196823",""
"Nafana Sianso","","","","9.3057692","-7.1033085",""
"Fengolo","","","","9.925917","-6.9051034",""
"N’Goloblasso","","","","9.6844507","-7.2241386",""
"Ngolodougou","","","","9.1326529","-5.1613124",""
"Kiémou","","","","9.0613669","-5.550429",""
"Longo","","","","8.9780787","-5.3998258",""
"Timbé","","","","8.1719049","-4.9476363",""
"Yékolo","","","","8.1809545","-4.9153215",""
"Boniérédougou","","","","8.3734143","-4.7161457",""
"Bokala","","","","8.406027","-4.6056444",""
"Niakaramandougou","","","","8.6606903","-5.2894139",""
"Kafiné","","","","8.5092621","-5.3111727",""
"Kapélé-Sokoura","","","","8.5383302","-4.6807825",""
"Foumbolo","","","","8.6421277","-4.6477227",""
"Niangourougbono","","","","8.6644018","-4.6624643",""
"Sarala","","","","8.6136574","-4.63929",""
"Sougbone","","","","8.5150342","-4.541958",""
"Sokala-Sobara","","","","8.441178","-4.513119",""
"Mborla-Dioulasso","","","","8.4680053","-4.4806749",""
"Ngorola","","","","8.3990644","-4.5074541",""
"Dabakala","","","","8.363238","-4.428486","15000"
"Darala","","","","8.4439509","-4.3621578",""
"Kotolo","","","","8.3248459","-4.4125253",""
"Diaradougou","","","","8.0546881","-4.5134622",""
"Bocanda","","","","7.063065","-4.4972477","59242"
"Diabo","","Botro","","7.7881544","-5.1709932",""
"Kouadiokro","","","","7.8337042","-5.3055642",""
"Klemeklo","","Botro","","7.7590863","-5.294647",""
"Saoundi","","","","7.7750582","-5.2693552",""
"Sinzékro","","Botro","","7.7732528","-5.2082568",""
"Groh","","Botro","","7.7857733","-5.2262682",""
"Gbéhéké","","Botro","","7.7354186","-5.2615294",""
"Languibonou","","","","7.700895","-5.261974",""
"Messoukro","","Botro","","7.739542","-5.2286201",""
"Boukébo","","Botro","","7.7539674","-5.3237718",""
"Kroukroutie","","Botro","","7.8161341","-5.3173725",""
"Zanikro","","","","7.8225088","-5.2992243",""
"Abé Aougnassou","","Botro","","7.8449915","-5.3553419",""
"Assenzé","","","","7.6913689","-5.5479616",""
"Ahouzé-Kouadiokro","","","","7.7512459","-5.3993887",""
"Kongobo","","","","7.7604308","-5.4789537",""
"Sahué","","","","7.7353368","-5.390192",""
"Aounzé","","","","7.7563365","-5.4173311",""
"Kondrobo","","","","7.8334753","-5.7475697",""
"Kouata","","","","7.891549","-5.8286279",""
"Golipla","","","","7.8185973","-5.8363527",""
"Grahipla","","","","7.810434","-5.8835596",""
"Botopla","","","","7.7708061","-5.8444208",""
"Bakopla","","","","7.7524365","-5.881843",""
"Agbao","","","","7.7455302","-5.7780733",""
"Bambalouma","","","","7.851079","-6.002349",""
"Soukourougban","","","","7.8488678","-5.935058",""
"Kongasso","","","","7.813953","-6.07759",""
"Massala","","","","7.8976327","-6.4370632",""
"Somana","","","","8.1001297","-6.4957041",""
"Nandala","","","","8.0961945","-6.4167407",""
"Sandala","","","","8.1111762","-6.4699548",""
"Gohitré","","","","7.5273447","-6.0469812",""
"Diéoulizra Gon'houla","","","","7.4756062","-6.020717",""
"Boizra","","","","7.4864991","-6.0232919",""
"Pahoufla","","","","7.5322523","-5.9738124",""
"Binzra","","","","7.3259729","-6.0071558",""
"Kouréra","","","","7.3414663","-6.1165041",""
"Vaniébotifla","","","","7.3490857","-6.0206334",""
"Vréhenfla","","","","7.3515112","-6.1087793",""
"Gouatifla","","","","7.3823885","-6.0318152",""
"Goaboifla","","","","7.3921992","-6.0385698",""
"Kouréra","","","","7.3640832","-6.0321592",""
"Ziduho","","","","7.3831766","-6.1685175",""
"Duafla Ouiézra","","","","7.3892945","-6.1612112",""
"Beziaka","","","","7.4560325","-6.1395067",""
"Gouétifla","","","","7.4689734","-6.1880988",""
"Zanzra","","","","7.47833","-6.210746",""
"Douénéfla","","","","7.515602","-6.1978716",""
"Bouata","","","","7.5321097","-6.2311739",""
"Vouéboufla","","","","7.6228063","-5.9474176",""
"Pohizra","","","","7.6407513","-5.9440936",""
"Grohoufla","","","","7.5695306","-5.960738",""
"Bangofla","","","","7.6879666","-5.9319681",""
"Zougounéfla","","","","7.7105917","-5.9280199",""
"Iriéfla","","","","7.687116","-5.8497423",""
"Kaloufla","","","","7.6765685","-5.8495706",""
"Toafla","","","","7.6496882","-5.8506006",""
"Léasso","","","","7.7318026","-5.9201223",""
"Ouinéfla","","","","7.5928598","-5.8784097",""
"Goafla","","","","7.6033299","-5.8766834",""
"Diéigalafla","","","","7.552948","-5.8900771",""
"Kouaisséizra 2","","","","7.5405241","-5.8874057",""
"Zaloufle","","","","7.5300521","-5.8827918",""
"Zuénoula","","","","7.4280208","-6.0500349","53000"
"Grazra","","","","7.5164529","-5.9307665",""
"Zraluo","","","","7.5756945","-5.8866923",""
"Gohitafla","","","","7.4905838","-5.8799547",""
"Douizra","","","","7.4810527","-5.913772",""
"Bongofla","","","","7.5390532","-5.7871916",""
"Gohifla","","","","7.3040089","-6.0011476",""
"Bogopinfla","","","","7.2929413","-5.9970278",""
"Dianfla","","","","7.1345599","-5.8581537",""
"Danangoro","","","","7.1752711","-5.926861",""
"Pakouabo","","","","7.157106","-5.791301",""
"Krigambo","","","","7.1343896","-5.8061403",""
"Zanouofla","","","","7.1345445","-5.8240793",""
"Okabo","","","","7.1900958","-5.7818225",""
"Bonon","","","","6.92692","-6.0442776","116871"
"Bablata","","","","6.9325347","-6.0109386",""
"Dabouzra","","","","6.9384436","-5.9869302",""
"Gobazra","","","","6.9449865","-5.9693635",""
"Blanfla","","","","6.8579091","-5.7637602",""
"Siétinfla","","","","6.8230563","-5.7328624",""
"Kononfla","","","","6.6514189","-5.6054682",""
"Manoufla","","","","6.6203859","-5.6243509",""
"Koumoudji","","","","6.6447798","-5.6372577",""
"Kayéta","","","","6.6400588","-5.6536299",""
"Tiezankro 3","","","","6.6200448","-5.7443422",""
"Goulikao","","","","6.5061265","-5.523929",""
"Louha","","","","6.4387525","-5.6052965",""
"Doukouya","","","","6.42613","-5.558948",""
"Gonaté","","","","6.90115","-6.2436959",""
"Boguédia","","","","6.635387","-6.5195616",""
"Luénoufla","","","","7.0734106","-6.2409493",""
"Bégafla","","","","7.0067971","-6.3288399",""
"Zéréfla","","","","6.9846472","-6.3417145",""
"Bandiai","","","","7.2014996","-6.1844727",""
"Béfla","","","","7.2108664","-6.1400124",""
"Faazra","","","","7.1636899","-6.3030907",""
"Bédiala","","","","7.156877","-6.3060089",""
"Ourouta-Thon","","","","7.1400678","-6.3149675",""
"Bonoufla","","","","7.1271577","-6.4770282",""
"Kétro Bassam","","","","7.1817436","-6.6421219",""
"Zaïbo","","","","6.9854992","-6.6656395",""
"Gamonia","","","","6.9713142","-6.6573783",""
"Zahia","","","","6.915124","-6.577749",""
"Kouléyo","","","","7.1670963","-6.6726776",""
"Kétro","","","","7.1757825","-6.6671845",""
"Néouléfla","","","","7.3956891","-6.607061",""
"Daoua","","","","7.4034655","-6.6177084",""
"Vaafla","","","","7.415036","-6.6474706",""
